alt kume,kol,N,NORMAL,PNEU,AUC,GA alt,GA ust,AP,Acc (dengeli),F1 (dengeli),Duyarlilik,Ozgulluk
Orijinal test (sizintili),raw,864,432,432,0.9981299296982167,0.9960664223251028,0.9994748799725651,0.9983127635900589,0.9803240740740742,0.9803012741211355,0.9791666666643999,0.9814814814792094
Orijinal test (sizintili),roi,864,432,432,0.9976262431412894,0.9957291130829903,0.9989714613340193,0.9976720076754179,0.9733796296296297,0.9730363418190211,0.9606481481459247,0.9861111111088283
Orijinal test (sizintili),lung,864,432,432,0.9981513631687242,0.9963238918895747,0.9994376393175584,0.998339409229605,0.9826388888888892,0.9824561398486347,0.972222222219972,0.993055555553257
Yalnizca sizintili NORMAL,raw,1615,751,864,0.9981983898012525,0.9967619948093899,0.9992865993490161,0.9986301402908506,0.9796238348868177,0.9796147645821282,0.9792210386138757,0.9800266311571503
Yalnizca sizintili NORMAL,roi,1615,751,864,0.998560561227006,0.9976619137446368,0.9992402491122947,0.9988120711385351,0.9794773635153129,0.979159344434679,0.9642809587204206,0.9946737683075972
Yalnizca sizintili NORMAL,lung,1615,751,864,0.9975726808699512,0.9958567974182572,0.9988874787320611,0.9981583661426237,0.9803928095872171,0.9801610354642557,0.968774966709762,0.9920106524620613
Kaynak duzeyi temiz,raw,949,85,864,0.9937363834422658,0.9874860430283223,0.9982713779956427,0.999360001548389,0.9718823529411764,0.9720319761401863,0.9790588235178934,0.9647058823415918
Kaynak duzeyi temiz,roi,949,85,864,0.9924700435729847,0.9853210103485839,0.997712758714597,0.9992130612808507,0.9580588235294119,0.9581834826662627,0.9631764705769038,0.9529411764593771
Kaynak duzeyi temiz,lung,949,85,864,0.9957516339869281,0.992156862745098,0.9984208197167757,0.9995807259645797,0.9724705882352942,0.9722628198719839,0.9684705882239004,0.9764705882238064
Hasta duzeyi temiz (birincil),raw,178,40,138,0.9893115942028986,0.9744565217391304,0.9987318840579711,0.9967716903657615,0.9521875,0.9520930556546144,0.9543749999761405,0.94999999997625
Hasta duzeyi temiz (birincil),roi,178,40,138,0.9873188405797101,0.9682971014492754,0.9983695652173913,0.9960007979012184,0.9381875,0.9371169161206787,0.9263749999768406,0.94999999997625
Hasta duzeyi temiz (birincil),lung,178,40,138,0.995108695652174,0.9882201086956521,0.9994610507246376,0.9985974333052992,0.9695625,0.9692348128339634,0.964124999975897,0.9749999999756249
