kume,kol,tohum,AUC
Ic test,lung,42,0.9981513631687242
Ic test,lung,1337,0.9981727966392318
Ic test,lung,2024,0.9965277777777778
Ic test,raw,42,0.9981299296982167
Ic test,raw,1337,0.9973797582304527
Ic test,raw,2024,0.9986121827846365
Ic test,roi,42,0.9976262431412894
Ic test,roi,1337,0.9970689729080933
Ic test,roi,2024,0.9972029320987654
NIH ChestX-ray14,lung,42,0.6886562500000001
NIH ChestX-ray14,lung,1337,0.690590625
NIH ChestX-ray14,lung,2024,0.682975
NIH ChestX-ray14,raw,42,0.678675
NIH ChestX-ray14,raw,1337,0.657175
NIH ChestX-ray14,raw,2024,0.691671875
NIH ChestX-ray14,roi,42,0.67855
NIH ChestX-ray14,roi,1337,0.6749343750000001
NIH ChestX-ray14,roi,2024,0.6811625000000001
RSNA (yetiskin),lung,42,0.926446875
RSNA (yetiskin),lung,1337,0.9190624999999999
RSNA (yetiskin),lung,2024,0.908375
RSNA (yetiskin),raw,42,0.9162718750000001
RSNA (yetiskin),raw,1337,0.909790625
RSNA (yetiskin),raw,2024,0.920125
RSNA (yetiskin),roi,42,0.9182250000000001
RSNA (yetiskin),roi,1337,0.9169124999999999
RSNA (yetiskin),roi,2024,0.922275
